fundID INTEGER primary key IDENTITY(1,1),projectID INTEGER references projects on delete cascade,agencyAcr VARCHAR(256),cost FLOAT
745,1196,Eurockot,41.8,
746,1204,Northrop,45,
747,1207,NASA,450,
748,1211,Northrop,40,
749,1212,CASC,69.7,
750,1215,Northrop,45,
751,1219,NASA,450,
752,1221,Lockheed,35,
753,1224,Northrop,40,
754,1231,CASC,64.68,
755,1242,NASA,450,
756,1247,Lockheed,35,
757,1248,CASC,30.8,
758,1250,ISRO,25,
759,1251,NASA,450,
760,1253,Northrop,40,
761,1254,CASC,64.68,
762,1259,Kosmotras,29,
763,1265,Northrop,40,
764,1274,CASC,30.8,
765,1277,Northrop,40,
766,1279,NASA,450,
767,1282,NASA,450,
768,1284,Northrop,40,
769,1289,Northrop,45,
770,1291,Northrop,40,
771,1299,CASC,30.8,
772,1302,Northrop,40,
773,1312,NASA,450,
774,1315,Lockheed,35,
775,1318,CASC,30.8,
776,1321,NASA,450,
777,1322,Northrop,40,
778,1324,CASC,30.8,
779,1329,Northrop,40,
780,1333,Northrop,45,
781,1337,NASA,450,
782,1342,Northrop,40,
783,1348,CASC,30.8,
784,1351,NASA,450,
785,1359,Northrop,40,
786,1363,ISRO,25,
787,1365,NASA,450,
788,1371,CASC,30.8,
789,1372,Northrop,40,
790,1378,NASA,450,
791,1379,Northrop,40,
792,1383,NASA,450,
793,1389,NASA,450,
794,1391,CASC,69.7,
795,1394,Northrop,40,
796,1397,NASA,450,
797,1398,Lockheed,35,
798,1406,NASA,450,
799,1409,NASA,450,
800,1414,NASA,450,
801,1419,Northrop,40,
802,1421,CASC,29.75,
803,1422,NASA,450,
804,1429,Northrop,40,
805,1439,Northrop,40,
806,1440,NASA,450,
807,1444,NASA,450,
808,1445,Northrop,40,
809,1455,NASA,450,
810,1456,ISRO,25,
811,1458,Northrop,40,
812,1460,NASA,450,
813,1469,NASA,450,
814,1480,NASA,450,
815,1484,EER,20,
816,1486,NASA,450,
817,1490,NASA,450,
818,1500,NASA,450,
819,1504,NASA,450,
820,1505,Northrop,40,
821,1516,Northrop,40,
822,1524,NASA,450,
823,1525,NASA,450,
824,1538,CASC,69.7,
825,1543,NASA,450,
826,1547,ISRO,25,
827,1551,NASA,450,
828,1553,NASA,450,
829,1555,Northrop,40,
830,1569,NASA,450,
831,1570,CASC,29.75,
832,1571,Northrop,40,
833,1575,Northrop,40,
834,1581,NASA,450,
835,1583,Northrop,45,
836,1585,NASA,450,
837,1588,CASC,69.7,
838,1591,NASA,450,
839,1592,Martin Marietta,35,
840,1599,NASA,450,
841,1606,NASA,450,
842,1607,CASC,30.8,
843,1608,Martin Marietta,35,
844,1610,ISRO,25,
845,1613,NASA,450,
846,1627,NASA,450,
847,1634,NASA,450,
848,1635,Northrop,40,
849,1639,NASA,450,
850,1649,Northrop,40,
851,1653,NASA,450,
852,1661,NASA,450,
853,1672,NASA,450,
854,1676,CASC,30.8,
855,1677,Martin Marietta,136.6,
856,1678,NASA,450,
857,1685,CASC,29.75,
858,1687,NASA,450,
859,1696,NASA,450,
860,1701,NASA,450,
861,1702,Martin Marietta,35,
862,1706,NASA,450,
863,1717,NASA,450,
864,1725,NASA,450,
865,1733,NASA,450,
866,1742,NASA,450,
867,1744,Northrop,40,
868,1751,NASA,450,
869,1756,NASA,450,
870,1761,NASA,450,
871,1780,NASA,450,
872,1788,NASA,450,
873,1794,NASA,450,
874,1795,CASC,30.8,
875,1816,Martin Marietta,136.6,
876,1826,NASA,450,
877,1832,Northrop,40,
878,1838,Martin Marietta,136.6,
879,1839,NASA,450,
880,1855,NASA,450,
881,1856,Martin Marietta,136.6,
882,1862,NASA,450,
883,1865,NASA,450,
884,1871,Martin Marietta,35,
885,1878,NASA,450,
886,1892,NASA,450,
887,1897,NASA,450,
888,1914,NASA,450,
889,1917,RVSN USSR,5500,
890,1923,NASA,450,
891,1930,Martin Marietta,35,
892,1933,CASC,30.8,
893,1981,CASC,30.8,
894,1987,CASC,30.8,
895,2001,RVSN USSR,5000,
896,2042,CASC,30.8,
897,2080,NASA,450,
898,2084,NASA,450,
899,2092,NASA,450,
900,2095,NASA,450,
901,2102,CASC,30.8,
902,2105,NASA,450,
903,2116,NASA,450,
904,2122,NASA,450,
905,2130,NASA,450,
906,2137,NASA,450,
907,2142,NASA,450,
908,2154,NASA,450,
909,2169,NASA,450,
910,2173,NASA,450,
911,2178,CASC,30.8,
912,2181,NASA,450,
913,2211,NASA,450,
914,2221,NASA,450,
915,2234,NASA,450,
916,2247,NASA,450,
917,2250,CASC,30.8,
918,2262,NASA,450,
919,2279,NASA,450,
920,2301,NASA,450,
921,2310,CASC,30.8,
922,2324,NASA,450,
923,2349,NASA,450,
924,2372,NASA,450,
925,2409,NASA,450,
926,3150,NASA,1260,
927,3181,NASA,1060,
928,3244,NASA,1100,
929,3329,NASA,1150,
930,3385,NASA,1050,
931,3476,NASA,1350,
932,3512,NASA,1250,
933,3546,NASA,1120,
934,3555,US Air Force,59,
935,3561,NASA,1160,
936,3564,US Air Force,59,
937,3584,US Air Force,59,
938,3585,NASA,1160,
939,3596,US Air Force,59,
940,3604,NASA,1160,
941,3610,US Air Force,59,
942,3619,US Air Force,59,
943,3646,US Air Force,59,
944,3647,US Air Force,59,
945,3663,US Air Force,59,
946,3678,US Air Force,59,
947,3684,NASA,1160,
948,3691,US Air Force,59,
949,3703,US Air Force,59,
950,3710,US Air Force,59,
951,3717,NASA,1160,
952,3726,US Air Force,59,
953,3738,US Air Force,59,
954,3747,US Air Force,59,
955,3759,US Air Force,59,
956,3780,US Air Force,59,
957,3800,US Air Force,59,
958,3816,US Air Force,59,
959,3840,US Air Force,59,
960,3856,US Air Force,59,
961,3972,US Air Force,63.23,
962,3994,US Air Force,63.23,
963,4001,US Air Force,63.23,
964,4021,US Air Force,63.23,
