spacecraftUsedID INTEGER,projectID INTEGER ,launcherName VARCHAR(256),spacecraftName VARCHAR(256)
832,832,Space Shuttle Endeavour ,STS-123
833,833,Ariane 5 ES ,Jules Verne ATV
834,834,H-IIA 202 ,Kizuna
835,835,Space Shuttle Atlantis ,STS-122
836,836,PSLV-CA ,TecSAR
837,837,Zenit-3 SL ,Thuraya-3
838,838,Ariane 5 GS ,Rascom-QAF1 
839,839,Delta II 7925 ,GPS IIRM-5
840,840,Atlas V 401 ,NROL-24
841,841,Delta II 7420-10C ,COSMO-2
842,842,Ariane 5 ECA ,Skynet 5B 
843,843,Long March 4C ,Yaogan 3
844,844,Delta IV Heavy ,DSP-23
845,845,Cosmos-3M (11K65M) ,SAR-Lupe 3
846,846,Long March 3B ,Chang'e 1
847,847,Molniya-M /Block 2BL ,Cosmos 2430
848,848,Space Shuttle Discovery ,STS-120
849,849,Delta II 7925 ,GPS IIRM-4
850,850,Atlas V 421 ,WSG-1
851,851,Ariane 5 GS ,Intelsat 11 
852,852,Delta II 7925H ,Dawn
853,853,Long March 4B ,CBERS-2B
854,854,Delta II 7920-10C ,DigitalGlobe WorldView-1
855,855,H-IIA 2022 ,SELENE
856,856,Cosmos-3M (11K65M) ,Cosmos 2429
857,857,GSLV Mk I ,INSAT-4CR
858,858,Ariane 5 ECA ,Spaceway-3 
859,859,Space Shuttle Endeavour ,STS-118
860,860,Delta II 7925 ,Phoenix
861,861,Long March 3B ,Chinasat-6B
862,862,Cosmos-3M (11K65M) ,SAR-Lupe 2
863,863,Zenit-2 ,Cosmos 2428
864,864,Dnepr ,Genesis 2
865,865,Atlas V 401 ,NROL-30 
866,866,Dnepr ,TerraSAR-X
867,867,Shavit-2 ,Ofek-7
868,868,Space Shuttle Atlantis ,STS-117
869,869,Delta II 7420-10C ,COSMO-SkyMed
870,870,Long March 3A ,SinoSat 3
871,871,Long March 2D ,Yaogan 2 
872,872,Long March 3B/E ,NIGCOMSAT-1
873,873,Ariane 5 ECA ,Astra 1L 
874,874,Pegasus XL ,AIM
875,875,Minotaur I ,NFIRE
876,876,PSLV-CA ,AGILE 
877,877,Dnepr ,EgyptSat 1 
878,878,Long March 3A ,Compass-M1
879,879,Long March 2C ,Haiyang-1B
880,880,Falcon 1 ,DemoSat
881,881,Ariane 5 ECA ,Skynet 5A 
882,882,Atlas V 401 ,STP-1
883,883,H-IIA 2024 ,IGS-Optical 3V
884,884,Delta II 7925-10C ,THEMIS
885,885,Long March 3A ,Beidou-1D
886,886,Zenit-3 SL ,NSS-8
887,887,PSLV-G ,Cartosat-2 
888,888,Cosmos-3M (11K65M) ,SAR-Lupe 1
889,889,H-IIA 204 ,Kiku 8
890,890,Minotaur I ,TacSat-2 
891,891,Delta II 7920-10C ,NROL-21
892,892,Space Shuttle Discovery ,STS-116
893,893,Ariane 5 ECA ,WildBlue-1 
894,894,Long March 3A ,Fengyun-2D
895,895,Delta II 7925 ,GPS IIRM-3
896,896,Delta IV Medium ,DMSP F17
897,897,Zenit-3 SL ,XM-4
898,898,Long March 3B ,SinoSat 2
899,899,Delta II 7925-10L ,STEREO
900,900,Long March 4B ,Shijian-6C 
901,901,Ariane 5 ECA ,DirecTV-9S
902,902,Delta II 7925 ,GPS IIRM-2
903,903,Mu-V / M-25 ,SSSat 2
904,904,Long March 3A ,Chinasat-22A
905,905,H-IIA 202 ,IGS-Optical 2
906,906,Space Shuttle Atlantis ,STS-115
907,907,Long March 2C ,Shijian-8
908,908,Zenit-3 SL ,Koreasat 5
909,909,Ariane 5 ECA ,JCSAT-10 
910,910,Rokot/Briz KM ,KompSat-2
911,911,Dnepr ,BelKa 1 
912,912,Molniya-M /Block 2BL ,Cosmos 2422
913,913,Dnepr ,Genesis 1
914,914,GSLV Mk I ,INSAT-4C
915,915,Space Shuttle Discovery ,STS-121
916,916,Delta IV Medium+ (42) ,NROL-22
917,917,Tsyklon-2 ,Cosmos 2421
918,918,Delta II 7925 ,MiTEx
919,919,Zenit-3 SL ,Galaxy 16
920,920,Ariane 5 ECA ,Satmex-6 
921,921,Shtil' ,Kompass-2
922,922,Delta IV Medium+ (42) ,GOES-N (GOES-13)
923,923,Delta II 7420-10C ,CloudSat
924,924,Long March 4C ,Yaogan 1
925,925,Start-1 ,EROS B
926,926,Atlas V 411 ,Astra 1KR
927,927,Minotaur I ,COSMIC (FORMOSAT-3)
928,928,Zenit-3 SL ,JCSat-9
929,929,Pegasus XL ,ST-5
930,930,Falcon 1 ,FalconSat-2
931,931,Ariane 5 ECA ,Spainsat 
932,932,Mu-V / M-25 ,SSSat 1
933,933,H-IIA 2024 ,Himawari 7
934,934,Zenit-3 SL ,EchoStar-X
935,935,H-IIA 2022 ,Daichi
936,936,Atlas V 551 ,New Horizons
937,937,Ariane 5 GS ,INSAT-4A 
938,938,Cosmos-3M (11K65M) ,Cosmos 2416
939,939,Ariane 5 ECA ,Spaceway-2 
940,940,Zenit-3 SL ,Inmarsat 4F-2
941,941,Cosmos-3M (11K65M) ,TopSat 1 
942,942,Titan IV(404)B ,NROL-20 (KH-11 Kennen)
943,943,Long March 2F ,Shenzhou 6
944,944,Ariane 5 GS ,Syracuse 3A 
945,945,Rokot/Briz KM ,CryoSat-1
946,946,Delta II 7925 ,GPS IIRM-1
947,947,Minotaur I ,Streak (STP-R1)
948,948,Long March 2D ,FSW-3 No. 3
949,949,Rokot/Briz KM ,Monitor-E
950,950,Dnepr ,Kirari and Reimei
951,951,Atlas V 401 ,Mars Reconnaissance Orbiter
952,952,Ariane 5 GS ,iPStar-1
953,953,Long March 2C ,FSW-4 No. 2
954,954,Space Shuttle Discovery ,STS-114
955,955,Mu-V / M-25 ,Suzaku
956,956,Long March 2D ,Shijian-7
957,957,Zenit-3 SL ,Intelsat-Americas 8
958,958,Volna ,Cosmos 1
959,959,Molniya-M /Block ML ,Molniya-3K nâ€ Â­175
960,960,Delta II 7320-10C ,NOAA-N
961,961,PSLV-G ,Cartosat-1 
962,962,Titan IV(405)B ,NROL-16 (Onyx)
963,963,Zenit-3 SL ,Spaceway-1
964,964,Pegasus XL ,DART
965,965,Long March 3B ,Apstar 6
966,966,Minotaur I ,XSS-11
967,967,Atlas V 431 ,Inmarsat-4 F1
968,968,Zenit-3 SL ,XM-3
969,969,H-IIA 2022 ,Himawari 6
970,970,Ariane 5 ECA ,XTAR-EUR
971,971,Atlas IIIB ,NROL-23 (Intruder 7A &7B)
972,972,Cosmos-3M (11K65M) ,Cosmos 2414 
973,973,Delta II 7925 ,Deep Impact
974,974,Tsyklon-3 ,Sich 1M 
975,975,Delta IV Heavy ,DemoSat 
976,976,Ariane 5 G+ ,Helios 2A
977,977,Atlas V 521 ,AMC-16
978,978,Delta II 7320-10C ,Swift
979,979,Long March 2C ,Shiyan-2
980,980,Soyuz 2.1a ,Demo Flight
981,981,Delta II 7925 ,GPS IIR-13
982,982,Long March 4B ,Ziyuan ll-03
983,983,Long March 3A ,Fengyun-2C
984,984,Long March 2D ,FSW-3 No.2
985,985,Cosmos-3M (11K65M) ,Cosmos 2408 and 2409
986,986,GSLV Mk I ,GSAT-3
987,987,Long March 4B ,Shijian-6A 
988,988,Shavit-1 ,Ofek-6
989,989,Atlas IIAS ,NROL-1
990,990,Long March 2C ,FSW-4 No.1
991,991,Delta II 7925H ,MESSENGER
992,992,Long March 2C ,Double Star 2
993,993,Cosmos-3M (11K65M) ,Cosmos 2407
994,994,Ariane 5 G+ ,Anik F2
995,995,Delta II 7920-10L ,Aura
996,996,Dnepr ,DEMETER 
997,997,Zenit-3 SL ,Telstar 18
998,998,Delta II 7925 ,GPS IIR-12
999,999,Zenit-2 ,Cosmos 2406
1000,1000,Tsyklon-2 ,Cosmos 2405
1001,1001,Minotaur C (Taurus) ,ROCSAT-2
1002,1002,Zenit-3 SL ,DirecTV-7S
1003,1003,Delta II 7920-10C ,Gravity Probe B
1004,1004,Atlas IIAS ,AMC-11
1005,1005,Long March 2C ,Shiyan-1 
1006,1006,Atlas IIAS ,Superbird 6
1007,1007,Delta II 7925 ,GPS IIR-11
1008,1008,Atlas IIIA ,MBSat
1009,1009,Ariane 5 G+ ,Rosetta 
1010,1010,Molniya-M /Block ML ,Cosmos 2405 (Molniya-1T nâ€ Â­174)
1011,1011,Titan IV(402)B ,DSP
