projectID INT,launchMonth VARCHAR(256),flightYear INT,launchLocation VARCHAR(256),countryName VARCHAR(256),missionStatus VARCHAR(256)
370,Mar,2017,SLC-3E Vandenberg AFB California,USA,Success
371,Feb,2017,Site 1/5 Baikonur Cosmodrome,Kazakhstan,Success
372,Feb,2017,LC-39A Kennedy Space Center Florida,USA,Success
373,Feb,2017,First Launch Pad Satish Dhawan Space Centre,India,Success
374,Feb,2017,ELA-3 Guiana Space Centre French Guiana,France,Success
375,Jan,2017,ELS Guiana Space Centre French Guiana,France,Success
376,Jan,2017,LA-Y1 Tanegashima Space Center,Japan,Success
377,Jan,2017,SLC-41 Cape Canaveral AFS Florida,USA,Success
378,Jan,2017,Uchinoura Space Center,Japan,Failure
379,Jan,2017,SLC-4E Vandenberg AFB California,USA,Success
380,Jan,2017,Site 95 Jiuquan Satellite Launch Center,China,Success
381,Jan,2017,LC-2 Xichang Satellite Launch Center,China,Success
